id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit
6K7V9SNN5AOX,Tablet Computers,"Restored Apple iPad Pro (12.9"") 5th Gen 128GB Space Gray Wi-Fi MHNF3LL/A (Latest Model) (Refurbished)",Apple,4.2,,"Further improving the&nbsp;12.9"" iPad Pro,&nbsp;Apple&nbsp;has added a few new advancements for upgraded performance, entertainment, and usability. Replacing the A12X processor, the A12Z Bionic has performance rivaling that of laptops available today, in addition to an eight-core graphics processor that handles everything from games to 4K video editing. Moreover, it's still paired with a Neural Engine chip for advanced machine learning.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-12-9-5th-Gen-128GB-Space-Gray-Wi-Fi-MHNF3LL-A-Latest-Model-Refurbished_fc75a562-c0c2-468b-9e74-3e49d9aa1b85.ba1872fcf55df8fcb81e8e4a7788a3ef.jpeg,710.99,USD
3WNN995CV5J7,Tablet Computers,"Restored Apple iPad Pro 128GB, Wi-Fi + Cellular, Space Gray 12.9"" Tablet (Refurbished)",Apple,3.6,,"We aim to show you accurate product information.Â Manufacturers, suppliers and others provide what you see here, and we have not verified it.Â See our disclaimer",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-128GB-Wi-Fi-Cellular-Space-Gray-12-9-Tablet-Refurbished_6c891311-c81e-4e3f-94a1-f6c4249f6d53.b0a4f3c2600e6cedd6a82c85c71cca92.jpeg,335.59,USD
6SPH44U2IICO,Tablet Computers,"Apple iPad 7th Generation 10.2-inch (2019) WiFi Only, Space Gray 32GB (Scratch and Dent)",Apple,4.1,,"We aim to show you accurate product information. Manufacturers, suppliers and others provide what you see here, and we have not verified it. See our disclaimer",https://i5.walmartimages.com/seo/Apple-iPad-7th-Generation-10-2-inch-2019-WiFi-Only-Space-Gray-32GB-Scratch-and-Dent_12cc5001-95f1-4060-b5a6-e95d085e7d51.680d33d7370f447fadfc563dd747b7bb.jpeg,164.99,USD
6F5E88XJ8Z8L,Tablet Computers,"Restored Apple iPad Pro 12.9"" (2018, 3rd Gen.) 64GB Silver - Wi-Fi (Refurbished)",Apple,5,,"&lt;p&gt;This item is in good condition, showing signs of use from normal wear. It is backed by a 90 day warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition. This product has been determined fully functional by our industry leading 30+ point functionality inspection. UL approved power adapter and charging cable are included. This product will not come in its original packaging; Headphones, SIM card and manual will not be included.&lt;/p&gt;&lt;p&gt;The 12.9-inch iPad Pro blurs the line between laptop and tablet with its M1 processor and Magic Keyboard. The standout feature of this flagship tablet is its Liquid Retina XDR display with ProMotion and wide color. Apple promotes this top-of-the-line iPad as a proper laptop replacement.&lt;/P&gt;",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-12-9-2018-3rd-Gen-64GB-Silver-Wi-Fi-Refurbished_d55035d1-6258-4cfe-8659-7ae11c224735.270c7a78ee5d8f5c6f0fc46bd2e20a87.jpeg,499,USD
3XZB9Y0ESXFT,Tablet Computers,"Apple MacBook Pro Laptop, 13.3\"" Retina Display, Intel Core i5, 256GB SSD, Mac OS Sierra, MPXT2B/A. Pre-Owned: Like New",Apple,2.7,,"This Apple MacBook Pro (MPXQ2LL/A) has a high-resolution LED-backlit 13.3-inch widescreen Retina display (2560 x 1600 native resolution). Powered by Intel Core i5 (2.3GHz) and Intel Iris Plus Graphics 640. Solid State Drive capacity of 256GB with 8GB of RAM. Supports Mac OS. Bundle includes Black Case, Wireless Mouse, and Bluetooth Headset! This device has been tested to be in great working condition. It will show signs of use and cosmetic blemishes which may included some scratched/dings, all of which do not affect the usability of this device. (Refurbished)",https://i5.walmartimages.com/seo/Apple-MacBook-Pro-Laptop-13-3-Retina-Display-Intel-Core-i5-256GB-SSD-Mac-OS-Sierra-MPXT2B-A-Pre-Owned-Like-New_0d601515-cdc2-446b-8601-3335fd598e9a.eb504fb58b60df1c1c2fec40f1b88157.jpeg,421.95,USD
1SMNKSECBKSE,Tablet Computers,"Restored Apple iPad 5th Gen 128GB Wi-Fi, 9.7in - Space Gray (Refurbished)",Apple,4.2,,"<p>Apple updated their classic space gray 9.7"" iPad with an Apple A9 chip, which also has a M9 motion coprocessor. This 64-bit chip delivers performance that makes apps feel fast and fluid. Explore rich learning apps, play graphically intensive games, or even use two apps at once with iOS 10's multitasking features. The iPad features a 9.7"" Retina Display that has a 2048 x 1536 resolution, resulting in 264 ppi — over 3.1 million pixels. The display also has multi-touch support. At just one pound and 7.5mm thin, the iPad features an aluminum unibody construction that delivers a solid feel. There is also a front 1.2MP FaceTime HD camera and a rear 8MP camera that can record 1080p video. With support for 802.11ac Wi-Fi, the iPad can reach data transfer speeds of up to 866 Mbps.</p><ul><li>9.7-inch&nbsp;1536 x 2048&nbsp;LCD Display</li><li>Apple A9 Processor (Dual-Core, 1.85GHz)</li><li>2GB Memory</li><li>128GB Storage</li><li>Integrated Graphics</li><li>IEEE 802.11a/ac/b/g/n and Bluetooth 4.2</li><li>Lithium-Polymer Battery; 10HRS Battery Life</li><li>iOS 13 Operating System</li><li>9.4"" x 6.6"" x 0.24"" (HxWxD);&nbsp;1.1lbs</li><li>1080p Video recording, Front camera, Rear camera, Touch screen, Webcam, Accelerometer, Ambient Light Sensor, E-Compass, Gyroscope</li><li>Energy Star Compliant</li></ul>",https://i5.walmartimages.com/seo/Restored-Apple-iPad-5th-Gen-128GB-Wi-Fi-9-7in-Space-Gray-Refurbished_c78c8c7d-f196-42ac-b3cd-9dca83fcb87c_1.cb2d7ea3bd8826c8860fab5dfa82569f.jpeg,141.99,USD
3HQVO71GT1MB,Tablet Computers,Restored Apple iPad 9th Gen 64GB Space Gray WiFi (2021 Model) (Refurbished),Apple,5,,"Powerful. Easy to use. Versatile. The new iPad has a beautiful 10.2-inch Retina display, powerful A13 Bionic chip, an Ultra Wide front camera with Center Stage, and works with Apple Pencil and the Smart Keyboard. iPad lets you do more, more easily. All for an incredible value.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-9th-Gen-64GB-Space-Gray-WiFi-2021-Model-Refurbished_97866522-97c6-433c-9d96-995928201292.bd33060cebad64bd1fcf1341cbd82c59.jpeg,249,USD
1O0TBE2DS5BJ,Tablet Computers,"Restored Apple iPad Pro 12.9"" 4th Gen Space Gray 256GB WiFi Only Tablet (Refurbished)",Apple,3.9,,WE DA BEST,https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-12-9-4th-Gen-Space-Gray-256GB-WiFi-Only-Tablet-Refurbished_12666374-71e5-4f66-8485-3ce6cc6d060a.cf38d1f330ac779394b74d8f9e4b7acf.jpeg,699.95,USD
71DDH8NBWNPD,Tablet Computers,Restored Apple iPad 2 16GB Wi-Fi (Refurbished),Apple,3.4,,"<p><b>This iPad is limited by Apple and will not upgrade to the latest iOS and, therefore, some popular applications like Netflix and Facebook may not load for you. But don’t worry! We have a workaround solution to help you get most of these apps working on your iPad.Download the newest app from the App Store to a newer Apple device first (iPhone 8 or iPad 5 or higher) that is linked to your Apple ID account.</b></p><ul><li> If you have a friend, relative or access to any device with the latest iOS, log into the App Store with your ID and password, download the app, delete the app and then log out of the App Store. </li><li>If you have already downloaded the app in the past, then you can proceed to the next step.</li><li> Next, go back to your older Apple iPad (this iPad), sign into the App Store and click on “Purchased Apps” at the bottom. Make sure you sign into the App store with the same Apple ID as you used to download the apps previously.</li><li> Find your App in the Purchased area and click on the Cloud icon next to it. A small pop-up window will appear asking you “Do you want to download the latest compatible version?” Click “Download” and it will then download the older app version to your iPad.</li><li> You will then be able to use the app on your older Apple device. Finally, you can still access popular services by going to their website in Safari but note that you will not be able to use video streaming services without obtaining the app through the above instructions.</li></ul>",https://i5.walmartimages.com/seo/Restored-Apple-iPad-2-16GB-Wi-Fi-Refurbished_da1d8089-fde1-4979-8100-e1d2b48d9fae.d43a9b5fabd14fbea1a35933f0eb461b.jpeg,46.99,USD
71ETIF4LNGEG,Tablet Computers,"Restored Apple iPad Pro (11"") 2nd Gen 128GB Space Gray Wi-Fi MY232LL/A (Latest Model) (Refurbished)",Apple,4.2,,"*This item is REFURBISHED. Further improving the 11"" iPad Pro, Apple has added a few new advancements for upgraded performance, entertainment, and usability. Replacing the A12X processor, the A12Z Bionic has performance rivaling that of laptops available today, in addition to an eight-core graphics processor that handles everything from games to 4K video editing. Moreover, it's still paired with a Neural Engine chip for advanced machine learning.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-11-2nd-Gen-128GB-Space-Gray-Wi-Fi-MY232LL-A-Latest-Model-Refurbished_c9fbafdd-bb48-4ecc-9914-4dd30cb4966d.2b128fc9b79db7f6affe92a51627058e.png,509.95,USD
0S8N53BWBKZR,Tablet Computers,"Restored Apple iPad 7th Gen 10.2"" Tablet 128GB WiFi, Space Gray (Refurbished)",Apple,4.6,,"Apple iPad 7th Gen 10.2"" Tablet 128GB WiFi,Â Space GrayÂ  (Certified Refurbished)",https://i5.walmartimages.com/seo/Restored-Apple-iPad-7th-Gen-10-2-Tablet-128GB-WiFi-Space-Gray-Refurbished_ca4d41f7-6b57-4dba-9139-1b78858e1a8b.4ca0ff9ba204dcac1826647410cf47dd.jpeg,198.97,USD
696T4ZHIHF8H,Tablet Computers,Apple iPad Pro Wi-Fi + Cellular 128GB - Silver - (6th Gen),Apple,4.4,,"iPad Pro. With astonishing performance, superfast wireless connectivity, and next-generation Apple Pencil experience. Plus, powerful new productivity and collaboration features in iPadOS 16. iPad Pro is the ultimate iPad experience.",https://i5.walmartimages.com/seo/Apple-iPad-Pro-Wi-Fi-Cellular-128GB-Silver-6th-Gen_ade30aad-770d-4a8a-bf19-446339584ee4.ed6323f06defbdca8738d7ec2a866fbe.jpeg,1279,USD
7AGDZ2WKK89S,Tablet Computers,"Open Box Apple iPad Pro 9.7-inch 32GB Wi-Fi +4G Unlocked Space Gray Bundle: Case, Pre-Installed Tempered Glass, Rapid Charger, Bluetooth/Wireless Airbuds By Certified 2 Day Express",Apple,3.8,,"This Apple iPad Pro comes in Space Gray. It has a 9.7-inch display with 1536 x 2048 pixel resolution (~264 pixels per inch). Powered by Apple A9X chipset, Dual-Core processor at a speed of 2.16GHz, and PowerVR Series 7 (12-Core graphics). Storage capacity of 32GB with 2GB of RAM for memory. The main camera is 12.0 megapixels. This device is also Wi-Fi +4G Unlocked. Bundle includes Case, Pre-Installed Tempered Glass, Rapid Charger, and Bluetooth/Wireless Airbuds By Certified 2 Day Express! This device has been tested to be in great working condition. It will show signs of use and cosmetic blemishes which may included some scratched/dings, all of which do not affect the usability of this device. (Refurbished)",https://i5.walmartimages.com/seo/Open-Box-Apple-iPad-Pro-9-7-inch-32GB-Wi-Fi-4G-Unlocked-Space-Gray-Bundle-Case-Pre-Installed-Tempered-Glass-Rapid-Charger-Bluetooth-Wireless-Airbuds_ae0b3d44-9eac-4773-b143-ce6331466edd.332e739a749b60b5e0f10b08eb97ad7f.jpeg,146,USD
23JOWQ2CA631,Tablet Computers,Refurbished Apple iPad 9th Gen 256GB Space Gray Wi-Fi MK2N3LL/A (Latest Model),Apple,4.2,,"<p>The Apple 10.2"" iPad features the Retina display with a 2160 x 1620 resolution for crisp details and vivid colors, making it an ideal companion for watching movies, creating content, and much more. The Retina Display also has True Tone technology, which adjusts the display to the color temperature of the room so it's more comfortable for viewing in any light. Apple upgraded the front camera to a 12MP Ultra-Wide camera. In addition to a huge boost in image quality and a wider 122° field of view, the iPad also features Center Stage. Center Stage automatically pans the camera to keep them in view. This is especially useful when other people join in because the camera detects them and smoothly zooms out to include them. Center Stage shines during video calls and it makes them feel more natural. It works in FaceTime, but also in other third-party video-calling apps. The A13 Bionic chip is more powerful than its predecessor, the A12 Bionic chip, and supports Neural Engine machine learning. Moreover, its Smart Connector offers Smart Keyboard support for comfortable typing, while its display is compatible with the 1st gen Apple Pencil, so users can write and draw. It's equipped with Wi-Fi 5 (802.11ac), Bluetooth 4.2, a Lightning connector, and a 3.5mm audio jack. This iPad is rated for up to 10 hours of use to keep you going throughout the day.</p>",https://i5.walmartimages.com/seo/Refurbished-Apple-iPad-9th-Gen-256GB-Space-Gray-Wi-Fi-MK2N3LL-A-Latest-Model_7f011036-b9fe-41fa-a034-630ee09c40c8.223ef5b846523de9f00acc7653753201.jpeg,349,USD
74LA35L5JADF,Tablet Computers,"Open Box Apple iPad 10.9"" (10th Gen) 64GB, WiFi Only - Pink",Apple,5,,"&lt;p&gt;This item is in like-new condition, backed by a 90 day warranty. It has been professionally refurbished, inspected and cleaned to excellent condition. This product has been determined fully functional by our industry leading 30+ point functionality inspection. UL approved power adapter and charging cable are included. This product will not come in its original packaging; Headphones, SIM card and manual will not be included.&lt;/p&gt;&lt;p&gt;Elevate your digital experience with the Apple iPad 10th Gen. This sleek and powerful tablet offers a stunning 10.9-inch Retina display, bringing your content to life with vibrant colors and sharp details. Powered by the A14 Bionic chip, the iPad 10th Gen delivers impressive performance for seamless multitasking, smooth app usage, and immersive gaming. With support for the Apple Pencil (1st Gen), you can take notes, sketch, and unleash your creativity effortlessly.&lt;/p&gt;",https://i5.walmartimages.com/seo/Open-Box-Apple-iPad-10-9-10th-Gen-64GB-WiFi-Only-Pink_262a139c-a61f-419d-8018-dfac41a86538.1f8c1a9036a892ad23ea607c5f465b28.jpeg,387,USD
25Q1UWWBIVKW,Tablet Computers,2022 Apple 10.9-inch iPad Wi-Fi + Cellular 64GB - Pink (10th Generation),Apple,,,"<p><strong>Loveable. Drawable. Magical</strong><br></p><p><strong> Colorful. Incredibly capable. Even more fun.</strong><br></p><p><strong> Meet the magical, colorful, all-new iPad </strong><br></p><p><strong> Unbelievably capable. Unmistakably iPad.</strong><br></p><p>Colorfully reimagined and more versatile than ever. With an all-screen design, 10.9-inch Liquid Retina display, and four gorgeous colors. iPad delivers a powerful way to create, stay connected, and get things done</p>",https://i5.walmartimages.com/seo/2022-Apple-10-9-inch-iPad-Wi-Fi-Cellular-64GB-Pink-10th-Generation_03ad83c0-4dd3-4fb5-b47f-1a3a57a72572.bc8c70e1d69fed01844f1de88b73fe04.jpeg,599,USD
37HLNIRTBRHP,Tablet Computers,Apple 11-in iPad Pro Wi-Fi 256GB - Space Gray - MNXF3LL/A (4th Gen),Apple,4.7,,"The M2 chip is the next generation of Apple silicon, with an 8-core CPU that delivers up to 15 percent faster performance and a 10-core GPU that provides up to 35 percent faster graphics performance.<b> </b>With a 40 percent faster Neural Engine to accelerate machine learning tasks and 50 percent more memory bandwidth, M2 brings astonishing performance and new capabilities to iPad Pro. So you can create photorealistic 3D designs, build intricate AR models, and play games with console-quality graphics at high frame rates faster than ever. All while enjoying all-day battery life.",https://i5.walmartimages.com/seo/Apple-11-in-iPad-Pro-Wi-Fi-256GB-Space-Gray-MNXF3LL-A-4th-Gen_c6a8109c-4877-4781-adc5-8d8d1309e38c.c0dd10b66d2637573ea0512371af4d6b.jpeg,879,USD
1QPGLUYTUBB2,Tablet Computers,"Restored Apple iPad 3 16GB Wi-Fi MC705LL/A , Black (Refurbished)",Apple,2.6,,"This iPad is limited by Apple and will not upgrade to the latest iOS and, therefore, some popular applications like Netflix and Facebook may not load for you. But don’t worry! We have a workaround solution to help you get most of these apps working on your iPad. Restored This refurbished Apple iPad is in excellent working and cosmetic condition and is ready for your immediate enjoyment. Sync with your iTunes account and have extensive access to the Apple App Store at your fingertips. This device is ready for your gaming, movie watching, surfing, emailing, note taking, picture taking or Face Timing anytime, anywhere. iPad has been completely refurbished and 100% tested to be fully functional. (Refurbished)",https://i5.walmartimages.com/seo/Restored-Apple-iPad-3-16GB-Wi-Fi-MC705LL-A-Black-Refurbished_4a191fd0-807c-401c-9f92-d38070df549d_1.543d729cfd981ac7a249167ac3cddfb8.jpeg,46.99,USD
6C5M0RZYY005,Tablet Computers,"Apple iPad 10.2"" 7th Generation Wi-Fi 32GB Space Gray Grade A-",Apple,4.2,,"Apple iPad 10.2"" 7th Generation Wi-Fi 32GB Space Gray Grade A-",https://i5.walmartimages.com/seo/Apple-iPad-10-2-7th-Generation-Wi-Fi-32GB-Space-Gray-Grade-A_2cafbcaf-334b-43e4-ad0c-1f7320f3bbec.b0e15dcabecc4e011815be06054e1cb8.jpeg,174,USD
70MTZO6KCVQA,Tablet Computers,"Used Apple iPad 6th Gen 32GB Wi-Fi, 9.7in - Space Gray",Apple,4.1,,This iPad has been certified by our industry-leading mobile diagnostic software to be 100% fully functional. It is in good condition showing normal signs of use on the screen along with scratching and/or dings on the sides and back casing. Premium aftermarket wall charger and USB cable are included. Original packaging is not included.,https://i5.walmartimages.com/seo/Used-Apple-iPad-6th-Gen-32GB-Wi-Fi-9-7in-Space-Gray_716aefbf-e337-4fca-b514-d9392586d43b.2a4744208762b955dc5934152945815a.png,118.99,USD
7JLZJFNCV0LD,Tablet Computers,Restored Apple iPad 10th Gen 64GB Silver WiFi MPQ03LL/A (Refurbished),Apple,4.6,,"This item is REFURBISHEDColorfully reimagined and more versatile than ever. With an all-screen design,10.9-inch Liquid Retina display, and four gorgeous colors. iPad delivers a powerful way to create, stay connected, and get things done.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-10th-Gen-64GB-Silver-WiFi-MPQ03LL-A-Refurbished_47f56bd8-4c98-4c91-803e-f8d651b99cf0.0b98f88ba6e3228a485cc78449c0d4c5.jpeg,389.99,USD
4YA1AYDECSK3,Tablet Computers,"Restored Apple iPad Pro (10.5"") 64GB Space Gray Wi-Fi MQDT2LL/A (Refurbished)",Apple,4.2,,"*This item is REFURBISHED. With the introduction of the 10.5"" iPad Pro,Appleprovides users with 64GB of storage and a 10.5"" IPS Retina display that is 20% larger than their 9.7"" model, while reducing its border size by nearly 40%. The result is a tablet that weighs just over 1 lb and also features a 12-core GPU, a screen resolution of 2224 x 1668, 264 pixels per inch (ppi), a refresh rate of 120 Hz, a brightness of 600 cd/m2, support for the P3 color gamut, 20 ms latency, and an anti-reflective coating with 1.8% reflectivity. All of this helps to deliver high resolution videos and photos with vivid colors, deep blacks, greater contrast, and more uniform brightness.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-10-5-64GB-Space-Gray-Wi-Fi-MQDT2LL-A-Refurbished_e224b5d7-7deb-436e-82d4-106bdb6d6adc.44fdba6300cc97add6da7e2c605c7a45.jpeg,249,USD
4TYROIXIDYBT,Tablet Computers,"Restored Apple iPad 10.2"" 128GB Space Gray (2019) (Refurbished)",Apple,4.2,,"Delightfully capable. Surprisingly affordable. The new iPad combines tremendous capability with unmatched ease of use and versatility. With the powerful A12 Bionic chip, support for Apple Pencil and the Smart Keyboard, and the amazing new things you can do with iPadOS 14, now there’s even more to love about iPad. 10.2-inch Retina display With incredible detail and vivid colors, the gorgeous Retina display is perfect for watching a movie, working on a project, and drawing your next masterpiece. A12 Bionic chip A12 Bionic delivers incredible performance for things like photo editing and graphic-intensive games, and the second?generation Neural Engine enables powerful features like handwriting recognition in Notes. iPadOS iPadOS dramatically enhances the note-taking experience on iPad. Apps are more streamlined and new compact designs for Siri, search and calls make iPad even more capable and simple to use. Augmented reality The powerful A12 Bionic chip combined with advanced sensors and cameras makes for incredible AR experiences on iPad. The large Retina display invites you into immersive AR environments that can transform the way you play, shop, and learn. Front and back cameras The built-in FaceTime HD camera and 8MP back camera allow you to snap amazing photos, shoot epic videos, scan documents, make FaceTime calls, and experience AR. Thin, light, and durable design iPad is built to be durable so you have peace of mind knowing you can take it anywhere you go. And now the enclosure is made from 100 percent recycled aluminum.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-10-2-128GB-Space-Gray-2019-Refurbished_73335089-6c92-4802-be2c-8e50d90f0936.6805d4c10228a7efe61ca787bcaf1936.jpeg,198.97,USD
2Z4RIM1L5ZV7,Tablet Computers,"Restored Apple iPad 6 9.7"" 32GB Space Gray (Wifi) with Kids Bundle JBL Wired Headphones, Shock Proof Case, & Screen Protector (Refurbished)",Apple,3.7,,"This Apple iPad 6 has been professionally restored to working order by an approved vendor. Manufacturer Refurbished Grade B Fully Functional in Excellent Working Condition. 8/10 Cosmetic Rating. Fully Unlocked compatible with all carriers. Internally, the iPad 6 is powered by a 64-bit 2.34 GHz ""Apple A10 Fusion"" processor with four cores. It has 2 GB of RAM, 32GB of flash storage. Bundle includes JBL Wired Headphones, Shock Proof Case, &amp; Screen Protector.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-6-9-7-32GB-Space-Gray-Wifi-with-Kids-Bundle-JBL-Wired-Headphones-Shock-Proof-Case-Screen-Protector-Refurbished_e78cfe45-6bd8-45aa-a8ed-6ff044b8c32a.84159e4cbfa4e2923a810cf7641c01ef.jpeg,169.99,USD
67HA5QTA0U08,Tablet Computers,"Restored Apple iPad Pro 10.5-inch Wi-Fi Only 64GB Bundle: Case, Pre-Installed Tempered Glass, Rapid Charger, Bluetooth/Wireless Airbuds By Certified 2 Day Express (Refurbished)",Apple,4,,"This Apple iPad Pro has an 10.5-inch display with 1668 x 2224 pixel resolution (~264 pixels per inch). Powered by Apple A10X Fusion chipset. Storage capacity of 64GB with 4GB of RAM for memory. The main camera is 12.0 megapixels. This device is also Wi-Fi Only. Bundle includes Case, Pre-Installed Tempered Glass, Rapid Charger, and Bluetooth/Wireless Airbuds By Certified 2 Day Express! This device has been tested to be in great working condition. It will show signs of use and cosmetic blemishes which may included some scratched/dings, all of which do not affect the usability of this device. (Refurbished)",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Pro-10-5-inch-Wi-Fi-Only-64GB-Bundle-Case-Pre-Installed-Tempered-Glass-Rapid-Charger-Bluetooth-Wireless-Airbuds-By-Certified-2-Da_8dfdf6b9-e02f-454f-ac24-69c4c5829102.a01ea31ab9a49892c0b0a5c290d42fb4.jpeg,219,USD
30Z7EZ2L7KMU,Tablet Computers,"Restored Apple iPad 2 16GB 9.7"" Touchscreen Wi-Fi Tablet - Black - MC769LLA (Refurbished)",Apple,2.4,,"<p>The all-new thinner and lighter design make the Apple iPad 2, 16GB with Wi-Fi even more comfortable to hold. It's even more powerful with the dual-core A5 chip, yet has the same 10 hours of life. With two cameras, you can make FaceTime video calls, record HD video, and put a twist on your snapshots in Photo Booth. The iPad 2 was proclaimed to be the start of a ""post PC"" era. The iPad 2 is a tablet computer designed for ""browsing the web, reading and sending emails, enjoying photos, watching videos, listening to music, playing games, reading e-books, and much more! "" It is equipped with a 9.7"" (1024x768, 132 PPI) multitouch ""glossy"" LED-Backlit IPS display and runs a version of the same iOS operating system that powers the iPhone and iPod, touch models. As a result, it is compatible with thousands of iPad-specific apps as well as most apps for the iPhone/iPod touch, but not MAC OS X apps. The iPad 2 is powered by a custom-design 1 GHz dual-core Apple A5 ""system on a chip"", has front and rear-mounted cameras, 802.11 a/b/g/n Wi-Fi, an accelerometer, a three-axis gyroscope, an ambient light sensor, digital compass, a speaker, and a built-in mic packed in a 0.34 inch thick, 1.34-pound glass and aluminum case with a black or white front and an aluminum back. Compared to the original iPad, major differences for the iPad 2 models include a thinner, lighter case design, faster processors, system-wide mirroring support, and the aforementioned cameras.</p>",https://i5.walmartimages.com/seo/Restored-Apple-iPad-2-16GB-9-7-Touchscreen-Wi-Fi-Tablet-Black-MC769LLA-Refurbished_1748bee4-fc43-4eb4-8d3b-ed0a5bf34f51.95e501ba4ec2e40ded0c260e62381e65.jpeg,48,USD
1W0311P43S25,Tablet Computers,Restored Apple iPad 6th Gen - 32GB - Space Gray - Wifi (Refurbished),Apple,4.7,,Apple iPad 6th Gen - 32GB - Space Gray - Wifi - Refurbished,https://i5.walmartimages.com/seo/Restored-Apple-iPad-6th-Gen-32GB-Space-Gray-Wifi-Refurbished_ea549814-308f-4a17-a937-935d12bc78ba.58c5e5cf922c2eb4fb35b54a74808256.jpeg,117,USD
4RLC7ZAZSQ06,Tablet Computers,"Restored Apple iPad 2 Wi-Fi 16GB 9.7"" LCD Bluetooth Tablet - MC769LL/A 2nd Gen (Refurbished)",Apple,2.6,,"<p>Introducing an iPad that's Thinner, Lighter, and Full of Great Ideas. It's 33% thinner and up to 15% lighter, so it feels even more comfortable in your hands. Even the iPad Smart Cover (sold separately) doesn't add bulk to its thin, light design. Superfast Dual-core A5 Chip and Graphics with the Same Battery Life Two powerful cores in one A5 chip mean iPad can do twice the work at once. With up to nine times the graphics performance, gameplay on iPad is even smoother and more realistic. Even with that, iPad has the same amazing 10-hour battery life. The power-efficient A5 chip and iOS keep battery life from fading away, so you can get carried away. Featuring an amazing LED-backlit IPS Display - The iPad is one big, beautiful display - 9.7 inches of high-resolution photos, movies, web pages, books, and more. LED backlighting makes everything you see remarkably crisp, vivid, and bright. It's designed to show off everything in portrait and landscape, so with every turn (even upside down), the display adjusts to fit. Because it uses a display technology called IPS (in-plane switching), it has a wide, 178 Degree viewing angle. Hold it up to someone across the room, or share it with someone sitting next to you, and everyone gets a brilliant view.</p>",https://i5.walmartimages.com/seo/Restored-Apple-iPad-2-Wi-Fi-16GB-9-7-LCD-Bluetooth-Tablet-MC769LL-A-2nd-Gen-Refurbished_f5e17c36-7d49-4a4b-bd9d-e1d731891ff9.2e42a4d9ec6c38e39e6bb890f8bd9740.jpeg,46.99,USD
73522RZX5WF5,Tablet Computers,Restored Apple iPad Air 16GB Wi-Fi (Refurbished),Apple,3.6,,"iPad Air is 20 percent thinner 1 and weighs just one pound, so it feels unbelievably light in your hand. It comes with a 9.7"" Retina display, the A7 chip with 64-bit architecture, ultrafast wireless, powerful apps, and up to 10 hours of battery life. 2 And over 475,000 apps in the App Store are just a tap away. 3",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Air-16GB-Wi-Fi-Refurbished_6f4e57e5-f8d3-49de-bf16-90a6c968ad8b.3b0f5f3e71a97d2b5e76f2ed80ec1913.jpeg,83.67,USD
3ALUHN6C4F40,Tablet Computers,Restored Apple iPad Mini 16GB Wi-Fi (Refurbished),Apple,2.3,,"This item is Used. The Apple iPad mini with Wi-Fi gives you all the features of an iPad but in a slightly smaller form. With a 7.9-inch LED-backlit display and an A5 chip, the iPad mini delivers a beautiful screen with fast and fluid performance. Featuring a 5MP iSight camera with 1080p HD video recording and FaceTime, you can snap pictures, take video and talk to loved ones on a platform that fits in the palm of your hand. The Apple iPad mini with Wi-Fi has ultrafast wireless that gives you access to high-speed cellular data networks around the world. With up to 10 hours of battery life, the Apple iPad mini gives you the freedom to work anywhere, anytime. The Apple iPad mini even offers you all the amazing apps (over 275,000 apps on the App Store) that are made for the iPad. So it's an iPad in every way and shape, in a slightly smaller form.",https://i5.walmartimages.com/seo/Restored-Apple-iPad-Mini-16GB-Wi-Fi-Refurbished_97bc0136-b921-4c25-a247-20f7e910c421.f75cd9854dc4e0d0cdc8affbddfffa99.jpeg,59.99,USD
